,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
188,600202.SH,20230317,6.0,6.01,5.75,5.89,5.87,0.02,0.3407,353179.2,207211.041
189,600202.SH,20230316,6.08,6.33,5.83,5.87,5.93,-0.06,-1.0118,524133.86,314746.405
190,600202.SH,20230315,5.39,5.93,5.39,5.93,5.39,0.54,10.0186,149199.0,86177.079
191,600202.SH,20230314,5.5,5.51,5.29,5.39,5.49,-0.1,-1.8215,52333.0,28181.243
192,600202.SH,20230313,5.53,5.58,5.44,5.49,5.55,-0.06,-1.0811,53668.0,29450.567
193,600202.SH,20230310,5.7,5.7,5.52,5.55,5.71,-0.16,-2.8021,52363.0,29221.94
194,600202.SH,20230309,5.77,5.77,5.58,5.71,5.77,-0.06,-1.0399,83865.0,47424.88
195,600202.SH,20230308,5.6,5.78,5.56,5.77,5.6,0.17,3.0357,56492.87,32336.599
196,600202.SH,20230307,5.71,5.74,5.6,5.6,5.71,-0.11,-1.9264,43419.21,24661.676
197,600202.SH,20230306,5.67,5.72,5.63,5.71,5.66,0.05,0.8834,37046.0,21042.63
198,600202.SH,20230303,5.65,5.71,5.65,5.66,5.67,-0.01,-0.1764,27276.01,15484.98
199,600202.SH,20230302,5.69,5.75,5.66,5.67,5.7,-0.03,-0.5263,33679.0,19190.474
200,600202.SH,20230301,5.65,5.72,5.63,5.7,5.67,0.03,0.5291,60689.0,34483.421
201,600202.SH,20230228,5.6,5.69,5.58,5.67,5.58,0.09,1.6129,37235.12,21010.747
202,600202.SH,20230227,5.64,5.68,5.56,5.58,5.64,-0.06,-1.0638,36148.13,20290.549
203,600202.SH,20230224,5.64,5.69,5.6,5.64,5.65,-0.01,-0.177,29195.01,16493.84
204,600202.SH,20230223,5.66,5.67,5.62,5.65,5.65,0.0,0.0,35806.0,20222.803
205,600202.SH,20230222,5.63,5.68,5.59,5.65,5.66,-0.01,-0.1767,33696.01,19043.829
206,600202.SH,20230221,5.7,5.71,5.62,5.66,5.63,0.03,0.5329,45753.0,25928.101
207,600202.SH,20230220,5.63,5.67,5.55,5.63,5.58,0.05,0.8961,57824.31,32459.043
208,600202.SH,20230217,5.61,5.68,5.56,5.58,5.52,0.06,1.087,71259.0,40018.805
209,600202.SH,20230216,5.7,5.73,5.5,5.52,5.7,-0.18,-3.1579,86763.36,48884.469
210,600202.SH,20230215,5.74,5.79,5.67,5.7,5.74,-0.04,-0.6969,45859.0,26252.146
211,600202.SH,20230214,5.71,5.75,5.68,5.74,5.7,0.04,0.7018,58234.78,33295.334
212,600202.SH,20230213,5.71,5.73,5.65,5.7,5.71,-0.01,-0.1751,67674.22,38484.398
213,600202.SH,20230210,5.68,5.74,5.62,5.71,5.68,0.03,0.5282,44357.0,25248.402
214,600202.SH,20230209,5.68,5.71,5.61,5.68,5.65,0.03,0.531,42813.0,24254.485
215,600202.SH,20230208,5.63,5.71,5.6,5.65,5.64,0.01,0.1773,54150.01,30629.374
216,600202.SH,20230207,5.65,5.67,5.57,5.64,5.64,0.0,0.0,54529.68,30652.941
217,600202.SH,20230206,5.58,5.67,5.56,5.64,5.56,0.08,1.4388,83717.86,47160.553
218,600202.SH,20230203,5.63,5.64,5.48,5.56,5.63,-0.07,-1.2433,61057.22,33810.334
219,600202.SH,20230202,5.63,5.67,5.57,5.63,5.63,0.0,0.0,62981.01,35450.58
220,600202.SH,20230201,5.6,5.65,5.54,5.63,5.61,0.02,0.3565,76614.0,42938.423
221,600202.SH,20230131,5.47,5.64,5.45,5.61,5.52,0.09,1.6304,79430.1,44176.032
222,600202.SH,20230130,5.48,5.54,5.44,5.52,5.46,0.06,1.0989,62329.68,34295.574
223,600202.SH,20230120,5.37,5.47,5.36,5.46,5.35,0.11,2.0561,45705.0,24803.264
224,600202.SH,20230119,5.34,5.37,5.31,5.35,5.35,0.0,0.0,29954.0,16009.958
225,600202.SH,20230118,5.28,5.36,5.26,5.35,5.26,0.09,1.711,31891.0,16975.125
226,600202.SH,20230117,5.33,5.35,5.23,5.26,5.3,-0.04,-0.7547,37047.82,19520.063
227,600202.SH,20230116,5.28,5.36,5.27,5.3,5.29,0.01,0.189,40143.0,21334.428
228,600202.SH,20230113,5.27,5.34,5.24,5.29,5.29,0.0,0.0,32434.0,17109.131
229,600202.SH,20230112,5.28,5.34,5.25,5.29,5.29,0.0,0.0,34541.0,18275.385
230,600202.SH,20230111,5.38,5.38,5.27,5.29,5.37,-0.08,-1.4898,33635.0,17897.843
231,600202.SH,20230110,5.34,5.41,5.33,5.37,5.34,0.03,0.5618,55352.0,29685.347
232,600202.SH,20230109,5.31,5.4,5.29,5.34,5.29,0.05,0.9452,48356.0,25905.172
233,600202.SH,20230106,5.27,5.35,5.26,5.29,5.28,0.01,0.1894,44238.0,23469.716
234,600202.SH,20230105,5.25,5.31,5.2,5.28,5.25,0.03,0.5714,40966.0,21535.5
235,600202.SH,20230104,5.25,5.29,5.19,5.25,5.2,0.05,0.9615,50658.0,26587.784
236,600202.SH,20230103,5.05,5.22,5.01,5.2,5.03,0.17,3.3797,56123.92,28798.328
237,600202.SH,20221230,4.94,5.06,4.92,5.03,4.94,0.09,1.8219,38708.0,19402.722
238,600202.SH,20221229,4.99,5.04,4.93,4.94,5.0,-0.06,-1.2,37913.2,18842.291
